Período/Exercício;Sociedade;ContaInterna;Prazo;Moeda;Saldo
0FISCPER;0COMPANY;CA_CINTER;CA_PRAZO;0CURKEY_GC;0CS_TRN_GC
022025;2968;11280008;1;BRL;-19228.24
022025;2968;13185709;1;BRL;-7476940.74
022025;2968;19910002;1;BRL;-4023.49
022025;2968;30330771;1;BRL;-7476940.74
022025;2968;30430107;1;BRL;-40684.38
022025;2968;30915055;1;BRL;-181195898.72
022025;2968;30915103;1;BRL;-159235191.06
022025;2968;30915158;1;BRL;-21960707.65
022025;2968;49930502;1;BRL;10210.76
022025;2968;61170302;1;BRL;10788612.66
022025;2968;61180000;1;BRL;888898.78
