Período/Exercício;Sociedade;ContaInterna;Prazo;Moeda;Saldo
0FISCPER;0COMPANY;CA_CINTER;CA_PRAZO;0CURKEY_GC;0CS_TRN_GC
012024;1001;85824539;30;USD;-366458452,42
012024;1001;99026974;180;EUR;111596806,34
012024;1001;19604116;30;USD;-122757588,76
012024;1001;34469647;30;BRL;-405533530,25
012024;1001;40255835;90;USD;-874927447,75
012024;1001;90286572;1;BRL;-10733905,93
012024;1001;34768904;90;USD;-677185770,20
012024;1001;56399051;90;USD;221735605,35
012024;1001;94267203;360;BRL;-932693302,57
012024;1001;68578839;60;USD;-524264018,37
012024;1001;15502438;30;EUR;624601177,69
012024;1001;10318549;1;EUR;-339565314,81
012024;1001;62858789;360;USD;688135066,11
012024;1001;72856118;180;BRL;546981343,71
012024;1001;34461667;90;USD;-731723393,40
012024;1001;91806648;30;BRL;680618374,19
012024;1001;26981395;180;EUR;900584705,60
012024;1001;78955923;90;EUR;676288154,26
012024;1001;19557653;30;EUR;617152148,85
012024;1001;61142159;360;USD;838104227,85
012024;1001;56334637;60;BRL;-505595862,18
012024;1001;50796753;90;BRL;-254164296,96
012024;1001;13990624;1;USD;-588997105,65
012024;1001;46679315;360;EUR;-424041194,21
012024;1001;52722207;30;BRL;669823746,80
012024;1001;41002084;90;USD;-574910031,04
012024;1001;54699484;60;USD;-868618577,53
012024;1001;59341349;90;BRL;-534796779,29
012024;1001;31271138;30;BRL;-9112771,84
012024;1001;60919034;90;EUR;381216297,01
012024;1001;26763844;1;BRL;-201215194,72
012024;1001;72903280;90;EUR;556548836,36
012024;1001;92578220;60;USD;-842206761,00
012024;1001;36029501;60;BRL;202530491,04
012024;1001;20976870;360;USD;576955792,53
012024;1001;58440244;30;EUR;538365081,41
012024;1001;39141878;360;USD;-203964957,99
012024;1001;99480803;180;EUR;-712519089,07
012024;1001;56992047;30;USD;228073333,51
012024;1001;31684212;90;EUR;314303565,96
012024;1001;16269338;360;EUR;-262958087,87
012024;1001;81352842;90;USD;880988445,06
012024;1001;85862917;180;USD;-594205628,00
012024;1001;75381937;30;EUR;-314898291,04
012024;1001;82613862;360;BRL;-616709776,94
012024;1001;55464400;90;USD;799387556,76
012024;1001;26617103;60;USD;850951401,95
012024;1001;18146803;360;EUR;-194595280,88
012024;1001;82346320;30;BRL;-556520228,34
012024;1001;84173604;90;EUR;-440632819,58
012024;1001;80652796;30;EUR;-845906009,09
012024;1001;10626858;90;EUR;104937115,46
012024;1001;68316939;90;EUR;-984326869,63
012024;1001;68649116;30;BRL;-860538902,15
012024;1001;37932139;30;EUR;823399480,96
012024;1001;98438763;30;EUR;-644607866,32
012024;1001;21690186;180;USD;-541746515,06
012024;1001;24000098;90;USD;165344522,40
012024;1001;15653265;360;EUR;663551338,73
012024;1001;32666357;90;USD;451803978,99
012024;1001;71864728;60;EUR;88166960,06
