Período/Exercício;Sociedade;ContaInterna;Prazo;Moeda;Saldo
0FISCPER;0COMPANY;CA_CINTER;CA_PRAZO;0CURKEY_GC;0CS_TRN_GC
022024;2002;13407539;360;BRL;-722370212,18
022024;2002;81033859;30;USD;-890938818,35
022024;2002;16449787;30;BRL;200021390,63
022024;2002;93932028;360;BRL;-559134404,92
022024;2002;96563492;360;USD;-893015016,21
022024;2002;95126420;360;USD;-185193124,56
022024;2002;37083050;1;USD;-234487616,34
022024;2002;65477960;360;EUR;520802357,32
022024;2002;14563831;180;USD;741646849,67
022024;2002;39530794;60;EUR;-31662999,27
022024;2002;70513929;90;EUR;958049447,30
022024;2002;55206680;60;USD;765932512,44
022024;2002;46818142;1;USD;-367972932,14
022024;2002;62133290;180;USD;-20725994,06
022024;2002;85267846;360;BRL;283662493,50
022024;2002;22380414;30;EUR;19876325,69
022024;2002;73510873;90;EUR;-742025078,16
022024;2002;24254493;1;BRL;189578147,33
022024;2002;91113036;1;BRL;-256235525,66
022024;2002;94513122;30;BRL;100609227,04
022024;2002;69887314;180;USD;-770913365,90
022024;2002;77829713;90;BRL;418743608,39
022024;2002;22199866;90;BRL;80349567,45
022024;2002;89218862;30;BRL;-515191852,29
022024;2002;37301739;60;USD;465741900,15
022024;2002;53316447;360;BRL;378840658,24
022024;2002;43298063;30;BRL;73097355,88
022024;2002;50895751;360;EUR;-654451513,66
022024;2002;99247304;90;BRL;-138833139,37
022024;2002;77390595;30;EUR;-447712391,13
022024;2002;24238240;180;BRL;-720385157,89
022024;2002;17693864;60;USD;401960643,82
022024;2002;37566675;90;USD;871055728,62
022024;2002;50982942;90;USD;-691007405,08
022024;2002;29317352;30;BRL;27531400,71
022024;2002;21884426;60;EUR;797806700,01
022024;2002;11339435;90;BRL;319121282,59
022024;2002;48409520;1;EUR;-178576530,06
022024;2002;50103587;360;EUR;783132704,86
022024;2002;24113624;60;BRL;-643463309,85
022024;2002;87177278;30;EUR;66827196,05
022024;2002;46546769;60;USD;613064436,00
022024;2002;17711902;360;EUR;766654704,94
022024;2002;70186477;90;USD;-489432091,06
022024;2002;14909427;60;USD;166764748,83
022024;2002;75310450;60;BRL;-405137296,56
022024;2002;44315638;30;EUR;219466336,16
022024;2002;66220656;180;USD;-920443825,39
022024;2002;53671426;180;USD;-966126644,24
022024;2002;51564872;90;BRL;-48517455,93
022024;2002;31226970;360;USD;-75874186,70
022024;2002;33305715;1;EUR;463425308,44
022024;2002;49930816;60;EUR;726268017,66
022024;2002;91605825;1;BRL;720084096,35
022024;2002;70899188;360;BRL;306007232,22
022024;2002;78059459;360;BRL;858965994,35
022024;2002;46917550;30;EUR;-182012481,85
022024;2002;49376714;180;BRL;-724595342,05
022024;2002;82619091;1;BRL;325172345,27
022024;2002;73191278;1;BRL;-487976285,57
022024;2002;53161242;90;EUR;-611130831,12
022024;2002;51293112;360;USD;-434071006,34
022024;2002;23410197;60;BRL;158470839,40
022024;2002;25748012;360;USD;87143331,25
022024;2002;77274428;360;EUR;273702948,17
022024;2002;99111839;180;EUR;731889676,34
022024;2002;48276706;30;EUR;-530756580,59
022024;2002;12111636;1;EUR;821833358,13
022024;2002;77054491;30;USD;-828893027,59
022024;2002;24353515;180;EUR;-186411585,63
022024;2002;20224049;30;BRL;-634760883,92
022024;2002;97041625;1;EUR;14433593,40
022024;2002;32431492;90;USD;427945527,54
022024;2002;12802151;60;EUR;111108229,59
022024;2002;45627609;90;BRL;-190016626,99
022024;2002;72315520;1;BRL;607443326,28
022024;2002;87440197;180;USD;-741194025,16
022024;2002;99986619;360;BRL;-11004269,88
022024;2002;44836213;60;EUR;274435810,36
022024;2002;73742667;30;BRL;891655411,49
022024;2002;92332863;360;BRL;-474743282,33
022024;2002;12103559;90;BRL;-105515475,79
022024;2002;47469810;90;USD;373205550,87
022024;2002;83215163;180;EUR;314357081,56
022024;2002;88918147;1;USD;731327450,94
022024;2002;61662852;1;BRL;-278098905,05
022024;2002;93557516;60;BRL;-149976617,50
022024;2002;43361014;90;BRL;-31668140,68
022024;2002;17006305;180;EUR;666776413,20
022024;2002;11004019;1;EUR;-620579572,09
022024;2002;63736641;90;EUR;61068939,35
022024;2002;17716173;90;BRL;-107988453,71
022024;2002;64241298;60;EUR;-210560132,70
022024;2002;40069227;30;BRL;39663126,82
022024;2002;99900583;1;BRL;393447035,60
022024;2002;33631346;1;USD;805083662,05
022024;2002;60094661;60;BRL;922451677,44
022024;2002;15617783;90;BRL;310344365,65
022024;2002;82974489;60;EUR;682170475,84
022024;2002;69259627;1;USD;-981792872,76
022024;2002;82417305;360;EUR;-525264683,31
022024;2002;34840303;1;BRL;-26318780,97
022024;2002;77365084;30;USD;248486152,67
022024;2002;11901854;180;BRL;-894613924,00
022024;2002;46086166;1;USD;-325903193,96
022024;2002;80559431;30;BRL;188030694,62
022024;2002;83028824;180;BRL;-652552206,99
022024;2002;35098398;180;EUR;-295558396,46
022024;2002;34759585;1;BRL;339948452,78
022024;2002;22424133;360;EUR;305159452,52
022024;2002;18320277;90;EUR;238275044,75
022024;2002;44461673;90;USD;-248523100,43
022024;2002;50164724;1;EUR;-121717588,92
022024;2002;47619448;1;USD;-775900151,51
022024;2002;93266961;60;USD;404224408,23
022024;2002;70386219;180;EUR;769995657,98
022024;2002;24788648;360;USD;88852881,21
022024;2002;97234198;60;USD;871202308,86
022024;2002;55228442;90;BRL;142833475,60
022024;2002;33509588;180;BRL;438432378,47
022024;2002;47408543;30;EUR;-812203045,96
022024;2002;37044532;90;BRL;-937260076,43
022024;2002;23657145;360;USD;-239082938,08
022024;2002;91809997;30;EUR;240064942,82
022024;2002;91366478;90;BRL;629905315,74
022024;2002;41026482;1;USD;-183660061,25
022024;2002;42641563;60;USD;-66061506,83
022024;2002;13734399;180;EUR;930199789,21
022024;2002;69615877;90;EUR;-293342576,03
022024;2002;59664253;90;USD;-536495459,15
022024;2002;40775786;360;BRL;937182154,86
022024;2002;88503957;1;EUR;587266748,62
022024;2002;45446752;1;EUR;744533017,99
022024;2002;42264443;30;USD;-560129187,28
022024;2002;30569998;180;EUR;659523900,15
022024;2002;61833746;90;EUR;-845307267,41
022024;2002;53107099;90;BRL;572564153,62
022024;2002;55739484;360;BRL;579451325,61
022024;2002;55939094;30;EUR;839417334,54
022024;2002;20110010;180;EUR;-875134419,47
022024;2002;71537209;1;EUR;386291297,22
022024;2002;82462351;360;BRL;877584731,14
022024;2002;37209086;180;USD;-12599419,39
022024;2002;69211387;360;USD;-275612959,07
022024;2002;84484826;360;USD;883748379,89
022024;2002;24435588;90;EUR;154533965,42
022024;2002;54580893;30;BRL;-416427185,41
022024;2002;59198433;180;USD;-657063751,62
022024;2002;95170304;1;USD;54731666,92
022024;2002;39755523;90;EUR;812928718,90
022024;2002;83381956;90;USD;-842480295,45
022024;2002;40591897;60;BRL;-295168479,48
022024;2002;12467298;1;USD;854599742,93
022024;2002;40541641;1;EUR;612979569,84
022024;2002;60098810;360;BRL;8429987,42
022024;2002;80095405;360;BRL;-109822828,62
022024;2002;81646887;360;BRL;-460064456,29
022024;2002;61118578;60;EUR;991373435,88
022024;2002;78693878;60;USD;-56549484,02
022024;2002;75115255;1;BRL;-869637377,90
022024;2002;43364320;360;EUR;-727253355,03
022024;2002;67706933;360;BRL;190043947,84
022024;2002;73103558;180;EUR;65681296,04
022024;2002;44423157;90;BRL;112746175,19
022024;2002;50211906;60;EUR;645827880,64
022024;2002;26235902;90;BRL;940785140,51
022024;2002;82749108;1;EUR;-839351472,43
022024;2002;93320120;180;USD;-408631432,90
022024;2002;96987430;60;USD;306178918,33
022024;2002;25118057;60;USD;890126845,02
022024;2002;11035819;30;USD;-515164215,75
022024;2002;53723744;180;USD;805249168,04
022024;2002;50122653;180;USD;-214657905,53
022024;2002;27498285;360;USD;-69732210,69
022024;2002;95598915;60;EUR;359859640,74
022024;2002;50261007;360;BRL;-562565292,84
022024;2002;20660985;360;EUR;767785001,15
022024;2002;17737642;30;EUR;-434414148,06
022024;2002;60222114;60;EUR;848405572,23
022024;2002;94587812;30;USD;-756347954,46
022024;2002;80796463;60;EUR;962033391,04
022024;2002;52061112;30;BRL;444807251,65
022024;2002;68017296;360;EUR;748289725,30
022024;2002;19602763;60;USD;559311479,22
022024;2002;50385219;90;EUR;-937126496,80
022024;2002;26818722;30;BRL;726748932,50
022024;2002;90442090;360;USD;909410062,47
022024;2002;45259580;90;USD;-959585790,74
022024;2002;64949595;60;BRL;-667653842,10
022024;2002;73635672;30;BRL;-994362182,03
022024;2002;90120065;180;EUR;648396731,54
022024;2002;63371202;1;EUR;-894117421,66
022024;2002;43832695;360;EUR;-817993779,80
022024;2002;82069089;30;USD;-937517874,91
022024;2002;80560434;180;USD;315658760,19
022024;2002;41540851;180;BRL;786128627,63
022024;2002;95656792;360;USD;-685003365,92
022024;2002;67599221;360;EUR;861297493,13
022024;2002;83558216;60;USD;-791210929,74
022024;2002;33854290;180;BRL;-317303895,83
022024;2002;84322969;1;USD;347696883,10
022024;2002;99105289;1;BRL;378757074,02
022024;2002;67668482;1;BRL;606344985,17
022024;2002;86233106;360;EUR;-777640964,64
022024;2002;53959552;360;USD;-257088249,27
022024;2002;34702800;90;EUR;-65610531,04
022024;2002;13610378;30;USD;246776837,74
022024;2002;23218280;60;BRL;866633573,93
022024;2002;73201881;90;BRL;991542346,92
022024;2002;37310846;30;BRL;-421580652,39
022024;2002;43113151;1;USD;-745522069,82
022024;2002;58955808;30;BRL;-636147227,44
022024;2002;91831156;1;BRL;419278161,62
022024;2002;83809848;60;BRL;-511973585,23
022024;2002;77643214;30;USD;-525987863,70
022024;2002;10285741;1;USD;397449516,59
022024;2002;25606672;90;BRL;-77112856,99
022024;2002;17234092;1;EUR;737666626,24
022024;2002;10699973;90;BRL;-365510054,87
022024;2002;37824882;360;BRL;957719949,21
022024;2002;21939062;30;EUR;106617528,27
022024;2002;48172297;90;EUR;-889996117,68
022024;2002;61038901;30;BRL;-939985608,85
022024;2002;13652668;360;BRL;333711425,56
022024;2002;42493507;1;BRL;-842966334,83
022024;2002;98410191;360;BRL;388546727,37
022024;2002;66288184;180;EUR;-374874186,55
022024;2002;53961333;180;BRL;763894998,27
022024;2002;38632383;90;USD;199337338,88
022024;2002;56804346;30;USD;555866603,34
022024;2002;20701377;360;BRL;-364233633,72
022024;2002;92650371;360;USD;996189074,95
022024;2002;91764623;1;EUR;356528458,35
022024;2002;85352958;1;BRL;945639298,07
022024;2002;24055448;360;USD;-624598806,02
022024;2002;60094751;90;BRL;-921468773,63
022024;2002;24363304;30;EUR;596452297,14
022024;2002;89598042;90;USD;774528742,74
022024;2002;49530196;60;USD;-405199325,14
022024;2002;67156960;60;EUR;-304941614,68
022024;2002;69052671;60;BRL;38809087,44
022024;2002;49819796;360;USD;-465115146,97
022024;2002;19466840;360;EUR;594554479,90
022024;2002;36050351;1;BRL;236777195,33
022024;2002;44189585;90;USD;492902205,02
022024;2002;23403589;180;USD;365322113,06
022024;2002;32850500;60;USD;-627591142,99
022024;2002;93537986;90;BRL;359045025,33
022024;2002;67145630;60;USD;-969393171,52
022024;2002;18617947;60;BRL;974831331,70
022024;2002;42630070;360;USD;594110626,67
022024;2002;15578854;180;EUR;65075047,82
022024;2002;57524330;180;BRL;-51156468,14
022024;2002;81491089;1;BRL;-240233953,62
022024;2002;30933175;90;BRL;732594489,37
022024;2002;90081367;1;USD;-857850099,78
022024;2002;68130153;60;BRL;-605424857,35
022024;2002;20341520;60;EUR;312638114,40
022024;2002;86508118;30;USD;-826333355,14
022024;2002;27602447;360;BRL;433053202,60
022024;2002;50136258;360;EUR;-532466977,75
022024;2002;14026687;60;EUR;-506569912,85
022024;2002;63051875;180;USD;-31036310,35
022024;2002;17152072;360;BRL;533596936,46
022024;2002;49353113;360;USD;-585675315,36
022024;2002;95950539;60;BRL;-676343775,31
022024;2002;12717812;90;BRL;832487855,26
022024;2002;30644294;90;BRL;101543925,62
022024;2002;41867664;90;EUR;-364242358,10
022024;2002;52044076;60;BRL;438326742,07
022024;2002;70277315;60;EUR;-444888605,68
022024;2002;79744089;60;BRL;854617269,43
022024;2002;89294479;360;BRL;252154061,18
022024;2002;96029802;90;BRL;170051700,12
022024;2002;95591807;90;EUR;507004263,31
022024;2002;52014973;30;USD;727962346,59
022024;2002;10387638;60;BRL;975732647,53
022024;2002;54587525;180;USD;-12735567,36
022024;2002;70671580;180;USD;108425441,44
022024;2002;52314476;360;USD;287248391,71
022024;2002;70680059;1;EUR;989255267,44
022024;2002;98410052;90;USD;-583991640,18
022024;2002;47685946;1;EUR;996086202,29
022024;2002;79907082;60;EUR;-621767577,91
022024;2002;28630480;360;USD;-305105340,79
022024;2002;88113192;60;EUR;575047583,85
022024;2002;69271184;60;BRL;331630736,38
022024;2002;82831848;1;BRL;-887575986,77
022024;2002;79056145;90;BRL;769010047,91
022024;2002;40285567;90;EUR;-971507106,21
022024;2002;34718942;1;EUR;-609591717,56
022024;2002;80668799;360;BRL;987439407,58
022024;2002;23654585;90;USD;373266040,02
022024;2002;96691857;90;BRL;464129130,35
022024;2002;38292119;180;USD;-402363424,44
022024;2002;26251385;90;EUR;-235828298,79
022024;2002;40983756;180;EUR;-241942024,63
022024;2002;56843000;90;BRL;-775038573,23
022024;2002;70218543;180;EUR;-567240704,13
022024;2002;96247379;90;USD;65293443,74
022024;2002;74885146;180;EUR;387984861,17
022024;2002;77263976;1;BRL;-239071092,35
022024;2002;19149672;360;EUR;435950181,43
022024;2002;86900479;60;EUR;-990276009,94
022024;2002;58297925;180;BRL;145543049,44
022024;2002;77356458;90;USD;854005144,02
022024;2002;14584985;30;USD;-890833578,55
022024;2002;67730466;180;USD;-475516302,01
022024;2002;91200752;90;EUR;488641416,63
022024;2002;54029508;60;USD;270119935,10
022024;2002;71484391;1;BRL;875191434,87
022024;2002;77795116;180;USD;-919655905,53
022024;2002;10997938;180;USD;-397085359,31
022024;2002;83719613;90;BRL;845325247,79
022024;2002;25800631;1;USD;427046920,35
022024;2002;46205037;60;EUR;304208780,32
022024;2002;60363793;30;EUR;-327871631,13
022024;2002;24456210;60;BRL;-746385134,85
022024;2002;15158660;30;BRL;570710231,95
022024;2002;79007350;360;EUR;24028136,63
022024;2002;18059849;60;USD;97603818,52
022024;2002;54871642;360;EUR;731379336,31
022024;2002;26326949;1;USD;254107446,10
022024;2002;24060573;180;USD;-683134716,24
022024;2002;57846803;30;USD;-493873255,58
022024;2002;97222822;1;USD;-8020008,42
022024;2002;49117475;180;BRL;-520258944,91
022024;2002;20970118;360;BRL;-496840391,16
022024;2002;21553624;180;BRL;-488776611,17
022024;2002;91929871;60;BRL;-43362008,61
022024;2002;69663189;90;USD;-181920549,40
022024;2002;45582565;30;USD;955432703,57
022024;2002;33660063;180;EUR;641483945,86
022024;2002;48544168;360;EUR;183202134,94
022024;2002;28849272;360;EUR;564208977,23
022024;2002;56024095;30;USD;534754849,89
022024;2002;11605328;30;USD;-10607104,02
022024;2002;91198917;90;EUR;191206064,70
022024;2002;42678853;90;USD;-448230727,00
022024;2002;35784408;30;USD;902157342,51
022024;2002;49956438;180;EUR;-384131444,82
022024;2002;58205714;1;EUR;-74140824,99
022024;2002;89639553;90;EUR;-3111356,31
022024;2002;85419035;60;BRL;894703450,90
022024;2002;50632553;360;EUR;259134048,87
022024;2002;43640335;180;EUR;376519231,16
022024;2002;96068077;180;USD;742837168,37
022024;2002;37308291;360;EUR;624217429,82
022024;2002;62239422;1;USD;-621365810,99
022024;2002;17752498;60;BRL;-708752273,60
022024;2002;29918456;360;EUR;621181907,08
022024;2002;31330429;90;BRL;8396635,18
022024;2002;27815396;1;EUR;-92661937,54
022024;2002;54366886;60;USD;701574041,34
022024;2002;94534912;360;EUR;-356405444,78
022024;2002;53220833;1;USD;-529070440,39
022024;2002;20108727;30;USD;442093782,74
022024;2002;36186820;30;USD;971268464,30
022024;2002;21405578;1;EUR;327216376,58
022024;2002;16484950;180;EUR;460910153,55
022024;2002;81051816;1;USD;968114646,86
022024;2002;55861557;30;BRL;-471761053,77
022024;2002;43840577;90;USD;756363847,51
022024;2002;97738519;360;EUR;591370241,09
022024;2002;30423508;180;USD;-611874580,03
022024;2002;45131670;180;BRL;660127683,22
022024;2002;95231622;30;BRL;-755301847,65
022024;2002;74394449;60;BRL;350428957,90
022024;2002;69002541;30;EUR;722615301,85
022024;2002;28105422;180;BRL;-643831595,75
022024;2002;89093698;30;USD;-682664005,88
022024;2002;89404951;60;BRL;559116151,85
022024;2002;83835693;1;BRL;-5913090,94
022024;2002;35481566;90;BRL;239540505,79
