Período/Exercício;Sociedade;ContaInterna;Prazo;Moeda;Saldo
0FISCPER;0COMPANY;CA_CINTER;CA_PRAZO;0CURKEY_GC;0CS_TRN_GC
012024;2002;82009133;1;BRL;230264265,88
012024;2002;45346635;30;BRL;820139244,86
012024;2002;24044139;90;USD;-679857552,87
012024;2002;10599076;90;USD;-519820585,94
012024;2002;81485854;60;USD;-779244015,08
012024;2002;42120094;1;USD;604576009,82
012024;2002;11463782;30;BRL;889887157,95
012024;2002;64393222;90;BRL;-244772595,57
012024;2002;50110138;60;USD;459297533,58
012024;2002;38365145;180;EUR;-439608463,05
012024;2002;21719414;180;EUR;-183566654,65
012024;2002;31848078;1;EUR;-92680608,85
012024;2002;79383825;180;EUR;-875506344,15
012024;2002;94530374;60;EUR;-324812522,91
012024;2002;30019592;360;BRL;-936846294,40
012024;2002;16174133;60;USD;-299610975,97
012024;2002;64415542;90;BRL;997220838,29
012024;2002;94107807;60;USD;210737508,51
012024;2002;48529477;180;EUR;277802832,48
012024;2002;73911415;90;USD;-958431828,14
012024;2002;59580489;60;EUR;799652847,97
012024;2002;46138805;1;BRL;-886854100,10
012024;2002;80890884;90;EUR;-383618480,49
012024;2002;18526058;30;USD;-421975599,18
012024;2002;80930282;1;USD;-280173093,17
012024;2002;70517030;180;EUR;-654512579,97
012024;2002;13693906;60;BRL;131361493,46
012024;2002;81647556;1;BRL;-689953739,04
012024;2002;95708655;30;EUR;-776478991,44
012024;2002;14333146;1;USD;952701727,68
012024;2002;96030816;1;BRL;-864279145,08
012024;2002;61750329;30;BRL;199783692,53
012024;2002;33229186;60;BRL;-302051007,51
012024;2002;39907780;1;EUR;960973962,33
012024;2002;27872571;30;EUR;-510704404,01
012024;2002;86653997;1;BRL;-508406809,22
012024;2002;66761951;30;EUR;-323025469,23
012024;2002;44210052;90;BRL;-464775197,48
012024;2002;22127933;1;BRL;-994894964,87
012024;2002;52853920;90;EUR;958318969,92
012024;2002;21742209;30;EUR;916592994,53
012024;2002;82472827;60;BRL;-226795174,75
012024;2002;92875343;180;EUR;-145205796,40
012024;2002;53144675;90;BRL;-300178889,90
012024;2002;11061462;1;BRL;914642226,64
012024;2002;29967032;1;USD;620213399,21
012024;2002;31098768;30;EUR;769112361,07
012024;2002;78054097;60;USD;-60300760,20
012024;2002;59236896;180;EUR;-102411101,37
012024;2002;16514077;180;EUR;822083314,50
012024;2002;17609797;30;EUR;-201708215,40
012024;2002;73346696;60;EUR;-982633421,02
012024;2002;72258072;90;USD;-267624508,79
012024;2002;13154802;60;USD;535537124,01
012024;2002;44506939;360;USD;-545504908,39
012024;2002;67543239;180;BRL;433807633,79
012024;2002;93240024;60;USD;-572264411,99
012024;2002;94384039;30;BRL;-733548193,87
012024;2002;90804416;180;BRL;-408510725,19
012024;2002;31444578;90;USD;-60723287,95
012024;2002;87809445;180;EUR;-83144490,17
012024;2002;90536991;1;EUR;717229903,70
012024;2002;77967691;180;USD;-878399351,49
012024;2002;82167925;360;USD;-95921475,52
012024;2002;68244827;30;BRL;53064144,95
012024;2002;78522833;360;USD;855152659,29
012024;2002;86464327;1;EUR;210744659,82
012024;2002;51175807;1;EUR;-795101833,15
012024;2002;98150707;30;EUR;678882851,62
012024;2002;96619551;1;EUR;-592353571,02
012024;2002;44352579;180;BRL;-255839642,27
012024;2002;52895491;90;BRL;654468619,08
012024;2002;78522509;90;EUR;-460922270,09
012024;2002;41938577;90;EUR;-405462202,79
012024;2002;38349942;180;BRL;-628228987,46
012024;2002;25198891;90;BRL;-388209002,17
012024;2002;28098256;90;EUR;-679405763,22
012024;2002;75827732;90;EUR;-53640073,53
012024;2002;51804358;30;USD;164984304,89
012024;2002;66882638;30;USD;933896116,00
012024;2002;49620256;90;USD;633487458,70
012024;2002;32881579;360;EUR;-411541442,16
012024;2002;58715188;360;EUR;752010480,63
012024;2002;43288369;30;BRL;709674403,73
012024;2002;89586181;360;EUR;-624793717,62
012024;2002;44921679;90;EUR;-326429760,31
012024;2002;99324814;60;USD;-389206000,89
012024;2002;54308357;180;USD;371939349,00
012024;2002;72184884;180;USD;-553029543,91
012024;2002;43614356;30;USD;348954726,24
012024;2002;42722446;360;USD;-170111185,73
012024;2002;55415960;1;USD;607990309,97
012024;2002;47862310;1;EUR;-300699851,80
012024;2002;62514530;90;BRL;-223659644,31
012024;2002;24215066;90;BRL;952967541,10
012024;2002;55827670;60;USD;897429903,13
012024;2002;26204457;60;BRL;-341425493,12
012024;2002;13552074;60;EUR;-132027809,84
012024;2002;86790416;180;EUR;63001558,84
012024;2002;30668741;1;EUR;310091446,44
012024;2002;92331091;180;USD;-295628863,29
012024;2002;24290696;60;BRL;563496371,58
012024;2002;23255347;60;USD;932435657,98
012024;2002;20490208;1;USD;563927013,56
012024;2002;17245432;360;USD;180205110,98
012024;2002;79991755;90;EUR;918450799,76
012024;2002;83347050;90;BRL;-10072456,82
012024;2002;17165394;60;EUR;-611306181,72
012024;2002;51624084;90;USD;-83112234,42
012024;2002;64662692;60;BRL;718599613,72
012024;2002;33584913;30;USD;646333463,80
012024;2002;12642719;180;BRL;667800470,06
012024;2002;70579117;90;EUR;-751098393,55
012024;2002;16646745;360;BRL;-503040497,26
012024;2002;19279125;1;EUR;977931087,84
012024;2002;57650791;30;USD;-530953498,74
012024;2002;99413583;180;BRL;-128019260,49
012024;2002;77411332;180;BRL;-378025510,30
012024;2002;35868860;60;USD;554718754,64
012024;2002;71797646;90;BRL;61823134,89
012024;2002;55041301;1;BRL;133749760,26
012024;2002;86437944;60;USD;98689871,01
012024;2002;69178391;180;BRL;-871681203,03
012024;2002;91497338;1;USD;-237604937,96
012024;2002;20933971;90;BRL;-723965632,26
012024;2002;51104248;1;EUR;-897931643,63
012024;2002;59288094;30;USD;330506255,99
012024;2002;50550088;60;EUR;-920177537,27
012024;2002;44592788;90;EUR;-571307276,31
012024;2002;48911408;30;BRL;90538560,45
012024;2002;67143407;180;EUR;-50321409,44
012024;2002;87364704;1;USD;244471062,64
012024;2002;68007156;90;USD;-335838849,19
012024;2002;94949392;90;EUR;635433337,22
012024;2002;85901045;1;USD;671601356,53
012024;2002;65830831;60;USD;-332519264,15
012024;2002;62474904;60;USD;245607814,40
012024;2002;36272661;90;USD;-674769020,07
012024;2002;68514365;1;USD;546925055,49
012024;2002;10650647;1;USD;-162316249,53
012024;2002;19945391;90;EUR;848578792,26
012024;2002;69005410;180;EUR;-5144616,82
012024;2002;22058560;60;EUR;-522511013,52
012024;2002;38227400;180;EUR;835164581,64
012024;2002;65561701;1;EUR;-819797753,22
012024;2002;16957886;180;EUR;199320023,00
012024;2002;18561074;60;USD;-650918323,79
012024;2002;36100776;360;USD;-890705963,49
012024;2002;83561014;30;EUR;-448054660,73
012024;2002;36629469;90;USD;-446768736,76
012024;2002;62679032;360;EUR;821018102,33
012024;2002;40863212;30;USD;-827517153,12
012024;2002;62150166;90;USD;-663971913,31
012024;2002;64662055;360;EUR;-578375179,00
012024;2002;95082553;90;BRL;354724434,35
012024;2002;32892388;30;EUR;176966306,41
012024;2002;52829522;360;EUR;18423110,29
012024;2002;46075019;90;EUR;839644242,01
012024;2002;83393664;60;BRL;-81407021,66
012024;2002;62216149;60;EUR;256911434,40
012024;2002;47206002;360;BRL;509748616,26
012024;2002;54716224;30;BRL;861444062,35
012024;2002;91449293;360;USD;405925452,30
012024;2002;16762960;360;USD;-707367956,64
012024;2002;56780797;30;EUR;-619197944,94
012024;2002;39552868;90;BRL;373675224,48
012024;2002;33931358;90;EUR;-424204622,24
012024;2002;25870976;60;USD;666919260,32
012024;2002;82932114;60;BRL;231186703,66
012024;2002;78958627;90;EUR;680655766,06
012024;2002;98074679;1;EUR;274802900,24
012024;2002;48116130;360;EUR;913963811,08
012024;2002;92682267;180;USD;910052941,34
012024;2002;59853698;60;BRL;572966853,60
012024;2002;78786524;1;BRL;693707760,03
012024;2002;37978702;30;BRL;737462975,03
012024;2002;89446254;360;EUR;939166814,50
012024;2002;67888307;60;EUR;577160212,66
012024;2002;97709631;90;EUR;-612843960,21
012024;2002;90856499;360;USD;734050484,42
012024;2002;21937844;360;USD;-79533918,51
012024;2002;66359864;180;USD;279792227,63
012024;2002;49466576;1;EUR;664406358,83
012024;2002;44789485;360;USD;756182832,37
012024;2002;65620479;60;USD;509436793,86
012024;2002;14911301;360;EUR;-929756328,18
012024;2002;40040003;360;USD;849461261,94
012024;2002;70255126;180;USD;-993800939,89
012024;2002;78352188;60;BRL;-369007913,17
012024;2002;50626967;90;EUR;406810375,44
012024;2002;66147328;1;EUR;-512445891,54
012024;2002;30771954;360;EUR;-675829477,73
012024;2002;83763444;360;BRL;215569740,06
012024;2002;51728516;180;EUR;-738987773,67
012024;2002;65290757;90;EUR;113892190,27
012024;2002;88556727;60;USD;736737876,42
012024;2002;17391346;90;EUR;51828572,44
012024;2002;48716845;60;BRL;-920710109,70
012024;2002;47748149;60;EUR;-223381105,24
012024;2002;70195715;30;BRL;974303147,88
012024;2002;61801282;90;EUR;935568920,47
012024;2002;65887880;180;USD;745289245,39
012024;2002;10341246;30;BRL;-347199430,83
012024;2002;67968984;30;USD;-716145398,62
012024;2002;58236797;60;BRL;76054590,39
012024;2002;50775275;1;EUR;380131850,87
012024;2002;97446621;180;EUR;-134326088,50
012024;2002;19726960;360;BRL;-564640561,54
012024;2002;87851246;60;USD;519243937,24
012024;2002;69451336;1;USD;293728733,58
012024;2002;89620663;1;USD;178838304,69
012024;2002;35148906;60;BRL;-349907556,06
012024;2002;14043983;60;USD;366373058,45
012024;2002;58410493;1;EUR;307793301,17
012024;2002;66864182;360;USD;-421413469,55
012024;2002;63272884;30;EUR;450661617,38
012024;2002;47101662;360;USD;621800228,44
012024;2002;60402765;60;USD;943955636,49
012024;2002;71938077;30;EUR;-921047704,36
012024;2002;28513036;360;USD;-255767355,49
012024;2002;24859219;180;EUR;276039759,08
012024;2002;56500392;1;EUR;-206856504,41
012024;2002;32277141;60;BRL;59941525,22
012024;2002;80730697;60;EUR;-699407891,29
012024;2002;21467574;30;USD;-871951671,22
012024;2002;95693816;30;EUR;-248861693,69
012024;2002;99717443;60;EUR;922035385,97
012024;2002;72685634;30;EUR;-504004541,61
012024;2002;22717884;90;EUR;62311745,26
012024;2002;87332366;30;USD;573453029,74
012024;2002;58526122;30;USD;507929422,07
012024;2002;71639622;360;BRL;169574844,04
012024;2002;35241332;1;EUR;758068069,51
012024;2002;15945781;60;BRL;-434522615,22
012024;2002;54795749;180;BRL;-601195990,24
012024;2002;81324785;30;EUR;-619737252,24
012024;2002;15756567;90;BRL;-666288185,59
012024;2002;95041925;90;USD;-376381403,02
012024;2002;42064209;90;USD;-905550215,38
012024;2002;75621949;90;BRL;151192628,19
012024;2002;38852386;180;EUR;275914563,96
012024;2002;63060385;90;EUR;943312828,49
012024;2002;81845054;180;USD;482306643,36
012024;2002;75234158;90;EUR;858810781,74
012024;2002;19416693;60;BRL;706269787,65
012024;2002;76860258;1;BRL;-880929964,24
012024;2002;91202009;60;EUR;646958047,01
012024;2002;95378403;90;USD;-818089365,09
012024;2002;48420816;360;EUR;-944413150,32
012024;2002;19640782;180;USD;579552367,30
012024;2002;34038627;60;BRL;-788171115,14
012024;2002;62298540;360;EUR;296571019,16
012024;2002;33814495;90;USD;-233436419,16
012024;2002;38018217;60;USD;435539194,74
012024;2002;77529662;1;USD;233266806,42
012024;2002;20037738;180;EUR;-863272393,93
012024;2002;69740124;1;USD;-78552628,20
012024;2002;80021484;180;EUR;725064525,83
012024;2002;40775853;90;BRL;115844413,62
012024;2002;35186547;30;BRL;-158345218,50
012024;2002;30102169;90;BRL;-342527691,29
012024;2002;28875697;60;BRL;682800848,83
012024;2002;63928282;60;BRL;51151742,21
012024;2002;74798657;90;EUR;104072202,71
012024;2002;33827968;60;BRL;-637758435,94
012024;2002;44023713;30;EUR;615370788,51
012024;2002;46542885;30;EUR;44449447,27
012024;2002;23548123;60;EUR;-417146844,49
012024;2002;82864612;30;USD;-803196778,96
012024;2002;15440503;360;EUR;-523313191,34
012024;2002;20678547;1;BRL;-201594648,02
012024;2002;49832683;60;USD;-370934139,17
012024;2002;37600739;1;BRL;-210397550,93
012024;2002;11797398;360;BRL;-606881276,56
012024;2002;26813240;90;USD;-933185914,39
012024;2002;48138992;60;USD;846106360,82
012024;2002;13399363;60;BRL;862538103,77
012024;2002;76489917;60;USD;51665653,49
012024;2002;79275441;360;EUR;-178658052,34
012024;2002;54465330;30;BRL;952675958,70
012024;2002;48615494;360;USD;-980482296,67
012024;2002;69937505;90;BRL;370746727,53
012024;2002;63381524;60;EUR;-647615244,98
012024;2002;69111408;30;USD;706674166,71
012024;2002;58987041;90;EUR;-379795043,86
012024;2002;75944336;360;BRL;-264451353,99
012024;2002;64434269;180;USD;69322313,82
012024;2002;62369577;90;USD;-294952112,26
012024;2002;41972226;60;EUR;156051304,45
012024;2002;27116835;60;EUR;384880053,47
012024;2002;73205436;1;EUR;-375289644,53
012024;2002;89945424;60;USD;-669934707,01
012024;2002;42231021;60;BRL;754097885,69
012024;2002;23717225;30;BRL;322504247,99
012024;2002;43335472;360;USD;-222287247,49
012024;2002;39001632;90;EUR;-794181052,18
012024;2002;58633784;60;BRL;844133995,10
012024;2002;49992425;180;EUR;-591518837,85
012024;2002;81457693;90;BRL;406614355,41
012024;2002;92544690;30;EUR;-215975779,23
012024;2002;96327675;90;EUR;589815771,29
012024;2002;67779635;360;EUR;191607785,54
012024;2002;67257368;1;USD;562436498,56
012024;2002;80434808;180;USD;941788610,22
012024;2002;64315141;30;USD;-482864553,62
012024;2002;97510005;360;EUR;697251688,70
012024;2002;22339013;360;EUR;348487165,08
012024;2002;53927482;360;EUR;-504970098,08
012024;2002;27387079;60;USD;989735716,01
012024;2002;41028807;30;EUR;-355432012,21
012024;2002;85777560;60;USD;794879095,60
012024;2002;80349992;1;USD;-282429028,67
012024;2002;68180021;180;BRL;914799094,89
012024;2002;31487827;180;USD;724795089,35
012024;2002;87479028;30;USD;-59448385,25
012024;2002;95248179;360;USD;-448662893,76
012024;2002;76368263;30;BRL;700594094,27
012024;2002;19364039;30;EUR;223801243,60
012024;2002;60419436;60;BRL;96357308,40
012024;2002;27657295;360;USD;-216289998,50
012024;2002;82944312;90;BRL;833940136,35
012024;2002;58563030;360;BRL;889936314,16
012024;2002;54950898;90;USD;632500661,47
012024;2002;44832849;60;EUR;-298737963,86
012024;2002;47160225;90;EUR;23306987,65
012024;2002;33104329;90;EUR;183787199,21
012024;2002;55946178;60;BRL;872133345,40
012024;2002;73910999;90;USD;-295927303,75
012024;2002;25177103;90;USD;-452378403,56
012024;2002;84722309;90;USD;101891484,77
012024;2002;92253493;180;EUR;-745611648,56
012024;2002;15467363;90;BRL;302557729,14
012024;2002;89964998;60;USD;-799252433,89
012024;2002;74232566;30;EUR;-544152065,34
012024;2002;94844615;60;BRL;423586636,09
012024;2002;28010091;90;EUR;-693624420,30
012024;2002;45280914;180;USD;-212901274,82
012024;2002;73134154;360;USD;983645082,48
012024;2002;15669335;180;BRL;-281305129,80
012024;2002;91207359;90;EUR;549779630,35
012024;2002;45106445;1;EUR;65233809,75
012024;2002;68604554;360;USD;-213283939,64
012024;2002;50862312;1;USD;789531384,82
012024;2002;68668752;180;BRL;-606545586,80
012024;2002;89567097;180;EUR;559364030,62
012024;2002;20228787;30;EUR;87521570,62
012024;2002;84379440;360;USD;-640528591,78
012024;2002;89495952;60;BRL;813810613,43
012024;2002;30180454;180;USD;-18213504,92
012024;2002;99097863;180;USD;-264018418,56
012024;2002;38211006;90;BRL;815935604,94
012024;2002;68725854;90;EUR;-425197352,94
012024;2002;73666617;90;BRL;-512442276,17
012024;2002;71439819;180;BRL;101191734,85
012024;2002;90300839;1;EUR;-41858466,51
012024;2002;93072541;60;EUR;548391534,54
012024;2002;28723563;90;USD;235724705,22
012024;2002;52154227;60;EUR;-58974431,18
012024;2002;56816183;60;BRL;248995193,31
012024;2002;64471267;60;BRL;120690090,42
012024;2002;78413864;180;EUR;955976390,22
012024;2002;95442453;90;EUR;881447648,13
012024;2002;68666793;60;USD;761098155,24
012024;2002;35909066;90;BRL;269231067,44
012024;2002;25800250;30;BRL;582857,61
012024;2002;58990862;1;BRL;390571319,58
012024;2002;13557939;360;USD;-556787523,01
012024;2002;15599773;30;BRL;-793341159,32
012024;2002;60319187;360;BRL;283674003,14
012024;2002;33134014;180;EUR;904228632,67
012024;2002;66854769;30;EUR;-85055569,26
012024;2002;75552156;360;USD;-612607922,64
012024;2002;86405207;60;USD;-66504638,92
012024;2002;12870913;180;USD;-417889989,85
012024;2002;43424209;90;BRL;-218859047,16
012024;2002;66893620;60;EUR;-294017114,00
012024;2002;29410111;180;BRL;260355940,44
012024;2002;16470128;90;EUR;408406246,53
012024;2002;59546981;60;BRL;790245066,41
012024;2002;82459991;60;BRL;-94560591,00
012024;2002;63649071;360;EUR;-515477796,35
012024;2002;49054155;60;USD;-729202628,27
